draw,drawdate,main1,main2,main3,main4,main5,main6,main7,bonus1,bonus2,sum7,sum9,odd7,even7
258,2018/3/30,1,3,11,20,23,32,35,25,26,125,176,5,2
259,2018/4/6,5,6,15,19,22,29,32,4,31,128,163,4,3
260,2018/4/13,4,8,12,23,29,31,34,5,6,141,152,3,4
261,2018/4/20,4,14,15,17,21,23,26,7,8,120,135,4,3
262,2018/4/27,2,6,7,9,19,23,36,5,15,102,122,4,3
263,2018/5/4,1,5,11,16,27,35,36,6,14,131,151,5,2
264,2018/5/11,8,13,15,17,21,26,29,4,24,129,157,5,2
265,2018/5/18,12,13,15,19,21,24,36,10,37,140,187,4,3
266,2018/5/25,6,11,15,17,20,27,32,16,22,128,166,4,3
267,2018/6/1,8,13,18,20,23,25,26,6,28,133,167,3,4
268,2018/6/8,4,5,9,15,29,31,33,26,27,126,179,6,1
269,2018/6/15,1,9,15,24,31,33,36,2,26,149,177,5,2
270,2018/6/22,1,2,11,13,15,24,25,26,28,91,145,5,2
271,2018/6/29,1,9,15,16,19,32,35,14,31,127,172,5,2
272,2018/7/6,2,5,8,15,18,26,31,19,25,105,149,3,4
273,2018/7/13,13,15,21,23,26,32,34,5,9,164,178,4,3
274,2018/7/20,9,14,21,23,25,26,37,7,29,155,191,5,2
275,2018/7/27,8,9,15,19,24,25,35,34,37,135,206,5,2
276,2018/8/3,3,6,12,17,22,34,35,2,33,129,164,3,4
277,2018/8/10,6,7,9,11,21,23,25,1,22,102,125,6,1
278,2018/8/17,6,9,14,21,23,33,36,27,28,142,197,4,3
279,2018/8/24,7,11,15,17,19,23,31,9,37,123,169,7,0
280,2018/8/31,4,9,10,11,24,32,35,2,37,125,164,3,4
281,2018/9/7,1,2,17,19,20,22,26,30,36,107,173,3,4
282,2018/9/14,10,17,18,25,29,35,36,7,14,170,191,4,3
283,2018/9/21,13,14,15,17,23,29,31,10,19,142,171,6,1
284,2018/9/28,6,7,10,25,29,30,33,1,31,140,172,4,3
285,2018/10/5,11,15,21,26,30,34,35,4,36,172,212,4,3
286,2018/10/12,4,5,14,17,18,29,37,27,31,124,182,4,3
287,2018/10/19,2,7,10,20,24,29,34,4,8,126,138,2,5
288,2018/10/26,1,8,9,16,27,32,37,17,31,130,178,4,3
289,2018/11/2,2,7,10,12,16,17,34,23,25,98,146,2,5
290,2018/11/9,3,13,22,26,31,32,37,29,35,164,228,4,3
291,2018/11/16,1,11,18,19,21,29,37,5,15,136,156,6,1
292,2018/11/23,12,15,25,26,27,29,35,24,30,169,223,5,2
293,2018/11/30,11,13,15,20,27,29,35,1,7,150,158,6,1
294,2018/12/7,3,4,6,10,14,22,29,28,32,88,148,2,5
295,2018/12/14,4,5,6,8,9,22,32,13,26,86,125,2,5
296,2018/12/21,1,8,10,12,18,28,29,25,27,106,158,2,5
297,2018/12/28,2,3,11,16,23,28,36,8,24,119,151,3,4
298,2019/1/4,1,3,8,11,18,19,22,26,30,82,138,4,3
299,2019/1/11,1,6,10,13,16,26,36,28,30,108,166,2,5
300,2019/1/18,4,7,21,31,33,34,35,6,12,165,183,5,2
301,2019/1/25,4,11,12,25,27,30,33,5,19,142,166,4,3
